Freq. Range[13,30]
Name;#Ephocs;Power
001_BL01.set;1;-2.232348
001_BL02.set;1;-0.249300
001_BL03.set;1;-9.091253
001_BL04.set;1;-8.651785
001_IBOE.set;1;-9.276571
002_BL01.set;1;-6.152437
002_BL02.set;1;-5.713267
002_BL03.set;1;-6.899825
002_BL04.set;1;-5.170267
002_IBOE.set;1;-5.113219
003_BL01.set;1;-4.363002
003_BL02.set;1;-4.835706
003_BL03.set;1;-5.193606
003_BL04.set;1;-4.289684
003_IBOE.set;1;-3.127831
004_BL01.set;1;-7.989780
004_BL02.set;1;-7.845905
004_BL03.set;1;-7.362607
004_BL04.set;1;-6.846745
004_IBOE.set;1;-2.356583
005_BL01.set;1;-10.331984
005_BL02.set;1;-10.098818
005_BL03.set;1;-10.654307
005_BL04.set;1;-11.497467
005_IBOE.set;1;-13.845636
006_BL01.set;1;-9.460672
006_BL02.set;1;-9.885835
006_BL03.set;1;-9.219782
006_BL04.set;1;-7.102662
006_IBOE.set;1;-8.395421
007_BL01.set;1;-6.661031
007_BL02.set;1;-6.632968
007_BL03.set;1;-5.868608
007_BL04.set;1;-6.459224
007_IBOE.set;1;-6.583370
