Freq. Range[8,1.299000e+01]
Name;#Ephocs;Frontal;Central;TempDir;TempEsq;Parietal;Ocipita
001_BL01.set;30;4.036413;-0.003437;3.063727;1.434610;-0.577726;2.417521
001_BL02.set;30;5.243655;0.687575;3.525258;-0.655625;-0.514599;1.451113
001_BL03.set;30;-1.211220;-4.613875;-2.461874;-2.220497;-5.564255;-0.898329
001_BL04.set;30;0.550220;-2.816544;0.253320;0.216728;-4.090033;0.227102
001_IBOE.set;30;3.018419;-0.333508;4.409087;2.665469;-2.244938;-0.573460
002_BL01.set;30;0.766841;-5.976497;-1.194034;-2.197522;-5.830906;-1.552598
002_BL02.set;30;1.246315;-5.257524;-0.434258;-1.227527;-5.774038;-1.765238
002_BL03.set;30;2.960320;-4.265383;-0.626893;-0.264094;-6.205403;-2.628093
002_BL04.set;30;2.052029;-5.374933;1.348746;-0.789046;-5.121628;-0.572152
002_IBOE.set;30;3.274869;-3.923173;2.401541;1.555952;-3.388311;1.349509
003_BL01.set;30;-2.620926;-5.113598;-0.589933;-0.395926;-3.909526;-0.445930
003_BL02.set;30;-0.318620;-4.036355;0.616439;0.304902;-3.321021;-0.638495
003_BL03.set;30;-0.481181;-4.454106;-0.017631;0.123785;-3.310383;0.001677
003_BL04.set;30;-0.639274;-4.623549;-0.013815;0.242904;-3.114479;0.609829
003_IBOE.set;30;0.881929;-1.994759;1.201100;2.325216;-1.056003;0.942327
004_BL01.set;30;-5.550425;-6.844822;-3.289192;-3.715204;-5.464919;-0.871840
004_BL02.set;30;-3.412274;-6.296857;-3.233878;-3.349366;-5.487998;-0.623421
004_BL03.set;30;-5.668337;-7.275142;-4.495978;-3.267768;-6.287392;-2.905269
004_BL04.set;30;-1.626031;-5.673625;-2.729086;-4.118105;-4.271028;0.507818
004_IBOE.set;18;-15.794434;-20.351253;-18.058800;-17.828511;-18.236967;-16.581501
005_BL01.set;30;-8.142215;-11.742743;-6.067447;-6.307540;-10.026165;-6.649327
005_BL02.set;30;-6.956901;-10.825329;-4.708649;-6.082844;-9.330421;-5.412069
005_BL03.set;30;-7.917619;-12.526480;-8.820189;-6.796803;-11.639189;-11.074408
005_BL04.set;30;-7.615256;-12.704763;-8.903412;-6.771651;-11.045944;-10.294662
005_IBOE.set;30;-6.587378;-12.139742;-7.685835;-5.663782;-10.864320;-10.041114
006_BL01.set;30;-3.089236;-7.107197;-2.723573;-4.026300;-5.508168;-0.424585
006_BL02.set;30;-4.582566;-8.204630;-3.253795;-3.836112;-5.374289;-0.520256
006_BL03.set;30;-4.036206;-7.625062;-4.454715;-4.174199;-6.427067;-1.797907
006_BL04.set;30;-3.640449;-7.822323;-2.326682;-3.395922;-5.591750;-1.140277
006_IBOE.set;30;-2.771125;-6.849782;-2.508457;-2.572126;-5.030650;-1.213948
007_BL01.set;30;-2.627510;-5.662019;-3.361549;-2.767745;-4.996228;-0.265917
007_BL02.set;30;-2.974964;-5.270667;-2.402128;-1.794994;-4.645688;-0.469048
007_BL03.set;30;-1.343817;-4.370983;0.180126;-0.868581;-5.216227;-3.238520
007_BL04.set;30;-2.429128;-5.367441;-2.501070;-2.695010;-5.726571;-3.939448
007_IBOE.set;30;-1.284561;-3.957555;-1.201026;-0.579700;-3.201437;0.393692
008_BL01.set;30;-0.377563;-4.688823;1.136062;0.628304;-2.446424;4.321940
008_BL02.set;30;-3.329242;-5.977162;0.679667;0.556251;-3.548833;0.060352
008_BL03.set;30;-1.525427;-5.298463;0.786229;1.257755;-2.441849;1.255999
008_BL04.set;30;-1.163027;-4.110382;0.666942;1.770503;-1.869689;1.680376
008_IBOE.set;30;4.534862;1.293050;7.709330;6.554105;5.235301;9.021337
