Freq. Range[13,30]
Name;#Ephocs;Frontal;Central;TempDir;TempEsq;Parietal;Ocipita
001_BL01.set;30;0.949728;-3.610309;-1.034923;-2.858799;-3.945745;-1.660827
001_BL02.set;30;3.453089;-2.105899;1.224326;-3.375273;-3.057607;-0.741134
001_BL03.set;30;-6.712441;-10.300893;-7.356223;-7.300866;-10.158460;-5.626610
001_BL04.set;30;-6.086754;-10.124246;-7.034639;-6.804591;-9.888856;-5.353329
001_IBOE.set;30;-5.902382;-9.501372;-5.738002;-6.570418;-10.281149;-8.824463
002_BL01.set;30;-1.142188;-9.087419;-6.094536;-6.307991;-9.981435;-6.087188
002_BL02.set;30;-0.585168;-7.318235;-4.645985;-5.127586;-9.887398;-5.962737
002_BL03.set;30;0.738688;-6.461606;-4.982609;-5.216537;-10.013833;-6.223721
002_BL04.set;30;-0.285740;-8.707257;-3.491586;-5.365543;-9.211100;-4.819413
002_IBOE.set;30;-0.126917;-7.728274;-4.109246;-4.740747;-8.733704;-4.319642
003_BL01.set;30;-3.713575;-5.970261;-2.427505;-1.987036;-5.920451;-3.738837
003_BL02.set;30;-0.981578;-5.949206;-1.687905;-1.357080;-5.817756;-3.729778
003_BL03.set;30;-0.587680;-5.505829;-1.857606;-1.276783;-5.490443;-3.308008
003_BL04.set;30;-2.210573;-6.503790;-2.418707;-1.417859;-5.603771;-2.421649
003_IBOE.set;30;-0.732362;-4.071072;0.680296;-0.031862;-3.897344;-1.785284
004_BL01.set;30;-8.523369;-9.741179;-6.853012;-6.588616;-9.293523;-5.928097
004_BL02.set;30;-5.375849;-9.104625;-6.878114;-5.387723;-9.199187;-5.494659
004_BL03.set;30;-7.184106;-9.858676;-7.791941;-6.699871;-9.812497;-7.145926
004_BL04.set;30;-4.649283;-8.956925;-6.042092;-6.997195;-8.798339;-5.034191
004_IBOE.set;18;-18.395743;-22.578339;-20.405531;-19.935080;-20.746847;-19.552904
005_BL01.set;30;-10.844613;-14.697778;-9.946713;-10.087120;-13.119721;-9.992178
005_BL02.set;30;-8.111371;-11.236512;-3.394186;-6.777711;-10.506584;-8.122988
005_BL03.set;30;-11.603882;-15.752272;-13.254973;-10.707042;-14.603338;-14.209993
005_BL04.set;30;-9.825501;-15.023711;-10.103008;-8.901979;-12.609050;-10.795894
005_IBOE.set;30;-10.199187;-15.608010;-12.943623;-10.665408;-14.676427;-14.047932
006_BL01.set;30;-6.485226;-10.384948;-5.544100;-6.309351;-10.339332;-7.237874
006_BL02.set;30;-7.637953;-11.890454;-6.483892;-6.475363;-10.645783;-7.390373
006_BL03.set;30;-7.382250;-11.653624;-7.388777;-5.914298;-10.903294;-7.441126
006_BL04.set;30;-6.696527;-11.008551;-5.317347;-6.553045;-10.415988;-6.828916
006_IBOE.set;30;-6.007972;-9.636464;-3.663122;-3.242996;-9.316932;-6.735991
007_BL01.set;30;-5.642640;-8.862374;-3.308663;-5.004404;-8.394198;-5.101580
007_BL02.set;30;-5.782027;-8.390653;-2.799488;-3.917515;-8.247989;-5.607597
007_BL03.set;30;-4.339047;-6.307089;2.277748;-2.277717;-7.078802;-6.449735
007_BL04.set;30;-4.859279;-8.140907;-1.701295;-3.958714;-7.997659;-6.456620
007_IBOE.set;30;-5.209429;-7.776631;-2.341114;-4.030111;-7.375528;-4.629155
008_BL01.set;30;-0.294542;-7.235611;0.739804;0.557845;-5.608708;1.360493
008_BL02.set;30;-2.695471;-8.260750;-0.148625;-0.835325;-6.447297;-2.523245
008_BL03.set;30;-2.939846;-8.144799;-1.262029;0.857136;-6.411356;-2.709054
008_BL04.set;30;-1.634694;-6.990350;0.466573;1.683292;-5.391814;-1.763572
008_IBOE.set;30;-4.218781;-7.213686;0.501882;3.564272;-3.547551;-0.554728
