Freq. Range[5.000000e-01,3.990000e+00]
Name;#Ephocs;Frontal;Central;TempDir;TempEsq;Parietal;Ocipita
001_BL01.set;30;12.373390;7.306052;9.644413;8.707275;6.766330;8.617472
001_BL02.set;30;13.494328;8.005749;10.488244;7.310555;6.884457;8.419144
001_BL03.set;30;4.459531;-0.121776;3.129986;3.158996;-0.079080;3.552222
001_BL04.set;30;5.607013;0.634127;4.561599;4.634250;0.712863;4.747378
001_IBOE.set;30;4.575110;-0.015627;2.910744;2.767031;-1.156124;-1.836415
002_BL01.set;30;6.900619;-0.682289;1.931483;3.197966;-2.022089;1.617666
002_BL02.set;30;8.012653;0.481348;3.369487;3.610884;-2.120497;1.020814
002_BL03.set;30;9.912437;1.141985;1.452605;2.612431;-2.211806;1.301258
002_BL04.set;30;11.125908;2.243453;7.758935;5.730998;1.417612;5.993292
002_IBOE.set;30;8.839169;0.599926;2.970868;3.550970;0.214898;3.445855
003_BL01.set;30;6.031080;1.798701;5.946484;6.416839;2.405059;5.364060
003_BL02.set;30;5.176348;1.128665;5.580666;5.527052;1.921516;4.937310
003_BL03.set;30;7.114220;2.188044;6.456354;6.933636;2.478497;5.383871
003_BL04.set;30;9.522601;5.021756;9.990465;8.651129;5.580870;8.491378
003_IBOE.set;30;5.745704;1.762441;5.566720;6.205531;2.448184;5.447739
004_BL01.set;30;2.011773;0.628629;4.396242;4.116666;0.884268;5.168996
004_BL02.set;30;4.856156;1.642123;5.654540;4.774990;1.982254;6.038925
004_BL03.set;30;2.997125;0.267228;3.835760;5.174866;0.141150;2.968463
004_BL04.set;30;6.954443;2.301993;5.080187;3.344361;3.366981;7.852549
004_IBOE.set;18;1.129680;-4.404790;-2.298932;-1.997836;-2.870243;-1.258431
005_BL01.set;30;0.384005;-4.448158;0.686154;0.763821;-3.497112;-0.758077
005_BL02.set;30;1.193114;-3.507420;1.860034;0.724893;-2.501861;0.365202
005_BL03.set;30;1.089155;-4.712812;-1.650759;0.071211;-3.943360;-2.330360
005_BL04.set;30;1.411392;-4.899277;-2.173252;0.177658;-4.690555;-4.133583
005_IBOE.set;30;2.403779;-4.666228;-1.470186;-0.078709;-4.230179;-3.536200
006_BL01.set;30;6.269654;1.182421;4.219113;4.654083;1.380381;5.924703
006_BL02.set;30;3.750640;-1.069061;3.453074;3.675166;0.719934;5.111026
006_BL03.set;30;5.787612;0.652569;3.472990;4.604419;0.182745;5.107597
006_BL04.set;30;5.475615;0.328737;4.108939;5.150643;0.828658;5.794072
006_IBOE.set;30;6.479891;0.577125;5.416781;5.372492;1.553728;5.595076
007_BL01.set;30;5.075901;0.245555;3.879075;3.841003;0.371292;4.958612
007_BL02.set;30;5.225139;0.736633;3.989528;5.295049;1.042042;5.475222
007_BL03.set;30;7.018849;2.339348;6.851579;6.725545;1.488402;3.018060
007_BL04.set;30;5.253392;1.850500;3.691406;4.879530;1.361672;2.860739
007_IBOE.set;30;5.985986;1.791132;4.230714;4.295874;1.672171;5.180673
008_BL01.set;30;5.240189;0.127524;4.326247;5.863201;0.986853;4.788200
008_BL02.set;30;3.139240;-1.330202;2.912064;3.928753;-0.522350;2.367351
008_BL03.set;30;3.689571;-1.132540;3.149657;5.489988;0.034463;3.376097
008_BL04.set;30;4.267993;0.441071;3.528191;5.478245;1.176628;4.567988
008_IBOE.set;30;4.242544;-0.865276;4.070870;4.255944;2.442994;5.162527
