Frontal,TempDir,TempEsq,Ocipita,Participante,Atividade,Wave
4.036413,3.063727,1.43461,2.417521,001,BL01,Alpha
5.243655,3.525258,-0.655625,1.451113,001,BL02,Alpha
-1.21122,-2.461874,-2.220497,-0.898329,001,BL03,Alpha
0.55022,0.25332,0.216728,0.227102,001,BL04,Alpha
3.018419,4.409087,2.665469,-0.57346,001,IBOE,Alpha
0.766841,-1.194034,-2.197522,-1.552598,002,BL01,Alpha
1.246315,-0.434258,-1.227527,-1.765238,002,BL02,Alpha
2.96032,-0.626893,-0.264094,-2.628093,002,BL03,Alpha
2.052029,1.348746,-0.789046,-0.572152,002,BL04,Alpha
3.274869,2.401541,1.555952,1.349509,002,IBOE,Alpha
-2.620926,-0.589933,-0.395926,-0.44593,003,BL01,Alpha
-0.31862,0.616439,0.304902,-0.638495,003,BL02,Alpha
-0.481181,-0.017631,0.123785,0.001677,003,BL03,Alpha
-0.639274,-0.013815,0.242904,0.609829,003,BL04,Alpha
0.881929,1.2011,2.325216,0.942327,003,IBOE,Alpha
-5.550425,-3.289192,-3.715204,-0.87184,004,BL01,Alpha
-3.412274,-3.233878,-3.349366,-0.623421,004,BL02,Alpha
-5.668337,-4.495978,-3.267768,-2.905269,004,BL03,Alpha
-1.626031,-2.729086,-4.118105,0.507818,004,BL04,Alpha
-15.794434,-18.0588,-17.828511,-16.581501,004,IBOE,Alpha
-8.142215,-6.067447,-6.30754,-6.649327,005,BL01,Alpha
-6.956901,-4.708649,-6.082844,-5.412069,005,BL02,Alpha
-7.917619,-8.820189,-6.796803,-11.074408,005,BL03,Alpha
-7.615256,-8.903412,-6.771651,-10.294662,005,BL04,Alpha
-6.587378,-7.685835,-5.663782,-10.041114,005,IBOE,Alpha
-3.089236,-2.723573,-4.0263,-0.424585,006,BL01,Alpha
-4.582566,-3.253795,-3.836112,-0.520256,006,BL02,Alpha
-4.036206,-4.454715,-4.174199,-1.797907,006,BL03,Alpha
-3.640449,-2.326682,-3.395922,-1.140277,006,BL04,Alpha
-2.771125,-2.508457,-2.572126,-1.213948,006,IBOE,Alpha
-2.62751,-3.361549,-2.767745,-0.265917,007,BL01,Alpha
-2.974964,-2.402128,-1.794994,-0.469048,007,BL02,Alpha
-1.343817,0.180126,-0.868581,-3.23852,007,BL03,Alpha
-2.429128,-2.50107,-2.69501,-3.939448,007,BL04,Alpha
-1.284561,-1.201026,-0.5797,0.393692,007,IBOE,Alpha
-0.377563,1.136062,0.628304,4.32194,008,BL01,Alpha
-3.329242,0.679667,0.556251,0.060352,008,BL02,Alpha
-1.525427,0.786229,1.257755,1.255999,008,BL03,Alpha
-1.163027,0.666942,1.770503,1.680376,008,BL04,Alpha
4.534862,7.70933,6.554105,9.021337,008,IBOE,Alpha
0.949728,-1.034923,-2.858799,-1.660827,001,BL01,Beta
3.453089,1.224326,-3.375273,-0.741134,001,BL02,Beta
-6.712441,-7.356223,-7.300866,-5.62661,001,BL03,Beta
-6.086754,-7.034639,-6.804591,-5.353329,001,BL04,Beta
-5.902382,-5.738002,-6.570418,-8.824463,001,IBOE,Beta
-1.142188,-6.094536,-6.307991,-6.087188,002,BL01,Beta
-0.585168,-4.645985,-5.127586,-5.962737,002,BL02,Beta
0.738688,-4.982609,-5.216537,-6.223721,002,BL03,Beta
-0.28574,-3.491586,-5.365543,-4.819413,002,BL04,Beta
-0.126917,-4.109246,-4.740747,-4.319642,002,IBOE,Beta
-3.713575,-2.427505,-1.987036,-3.738837,003,BL01,Beta
-0.981578,-1.687905,-1.35708,-3.729778,003,BL02,Beta
-0.58768,-1.857606,-1.276783,-3.308008,003,BL03,Beta
-2.210573,-2.418707,-1.417859,-2.421649,003,BL04,Beta
-0.732362,0.680296,-0.031862,-1.785284,003,IBOE,Beta
-8.523369,-6.853012,-6.588616,-5.928097,004,BL01,Beta
-5.375849,-6.878114,-5.387723,-5.494659,004,BL02,Beta
-7.184106,-7.791941,-6.699871,-7.145926,004,BL03,Beta
-4.649283,-6.042092,-6.997195,-5.034191,004,BL04,Beta
-18.395743,-20.405531,-19.93508,-19.552904,004,IBOE,Beta
-10.844613,-9.946713,-10.08712,-9.992178,005,BL01,Beta
-8.111371,-3.394186,-6.777711,-8.122988,005,BL02,Beta
-11.603882,-13.254973,-10.707042,-14.209993,005,BL03,Beta
-9.825501,-10.103008,-8.901979,-10.795894,005,BL04,Beta
-10.199187,-12.943623,-10.665408,-14.047932,005,IBOE,Beta
-6.485226,-5.5441,-6.309351,-7.237874,006,BL01,Beta
-7.637953,-6.483892,-6.475363,-7.390373,006,BL02,Beta
-7.38225,-7.388777,-5.914298,-7.441126,006,BL03,Beta
-6.696527,-5.317347,-6.553045,-6.828916,006,BL04,Beta
-6.007972,-3.663122,-3.242996,-6.735991,006,IBOE,Beta
-5.64264,-3.308663,-5.004404,-5.10158,007,BL01,Beta
-5.782027,-2.799488,-3.917515,-5.607597,007,BL02,Beta
-4.339047,2.277748,-2.277717,-6.449735,007,BL03,Beta
-4.859279,-1.701295,-3.958714,-6.45662,007,BL04,Beta
-5.209429,-2.341114,-4.030111,-4.629155,007,IBOE,Beta
-0.294542,0.739804,0.557845,1.360493,008,BL01,Beta
-2.695471,-0.148625,-0.835325,-2.523245,008,BL02,Beta
-2.939846,-1.262029,0.857136,-2.709054,008,BL03,Beta
-1.634694,0.466573,1.683292,-1.763572,008,BL04,Beta
-4.218781,0.501882,3.564272,-0.554728,008,IBOE,Beta
12.37339,9.644413,8.707275,8.617472,001,BL01,Delta
13.494328,10.488244,7.310555,8.419144,001,BL02,Delta
4.459531,3.129986,3.158996,3.552222,001,BL03,Delta
5.607013,4.561599,4.63425,4.747378,001,BL04,Delta
4.57511,2.910744,2.767031,-1.836415,001,IBOE,Delta
6.900619,1.931483,3.197966,1.617666,002,BL01,Delta
8.012653,3.369487,3.610884,1.020814,002,BL02,Delta
9.912437,1.452605,2.612431,1.301258,002,BL03,Delta
11.125908,7.758935,5.730998,5.993292,002,BL04,Delta
8.839169,2.970868,3.55097,3.445855,002,IBOE,Delta
6.03108,5.946484,6.416839,5.36406,003,BL01,Delta
5.176348,5.580666,5.527052,4.93731,003,BL02,Delta
7.11422,6.456354,6.933636,5.383871,003,BL03,Delta
9.522601,9.990465,8.651129,8.491378,003,BL04,Delta
5.745704,5.56672,6.205531,5.447739,003,IBOE,Delta
2.011773,4.396242,4.116666,5.168996,004,BL01,Delta
4.856156,5.65454,4.77499,6.038925,004,BL02,Delta
2.997125,3.83576,5.174866,2.968463,004,BL03,Delta
6.954443,5.080187,3.344361,7.852549,004,BL04,Delta
1.12968,-2.298932,-1.997836,-1.258431,004,IBOE,Delta
0.384005,0.686154,0.763821,-0.758077,005,BL01,Delta
1.193114,1.860034,0.724893,0.365202,005,BL02,Delta
1.089155,-1.650759,0.071211,-2.33036,005,BL03,Delta
1.411392,-2.173252,0.177658,-4.133583,005,BL04,Delta
2.403779,-1.470186,-0.078709,-3.5362,005,IBOE,Delta
6.269654,4.219113,4.654083,5.924703,006,BL01,Delta
3.75064,3.453074,3.675166,5.111026,006,BL02,Delta
5.787612,3.47299,4.604419,5.107597,006,BL03,Delta
5.475615,4.108939,5.150643,5.794072,006,BL04,Delta
6.479891,5.416781,5.372492,5.595076,006,IBOE,Delta
5.075901,3.879075,3.841003,4.958612,007,BL01,Delta
5.225139,3.989528,5.295049,5.475222,007,BL02,Delta
7.018849,6.851579,6.725545,3.01806,007,BL03,Delta
5.253392,3.691406,4.87953,2.860739,007,BL04,Delta
5.985986,4.230714,4.295874,5.180673,007,IBOE,Delta
5.240189,4.326247,5.863201,4.7882,008,BL01,Delta
3.13924,2.912064,3.928753,2.367351,008,BL02,Delta
3.689571,3.149657,5.489988,3.376097,008,BL03,Delta
4.267993,3.528191,5.478245,4.567988,008,BL04,Delta
4.242544,4.07087,4.255944,5.162527,008,IBOE,Delta
6.482806,5.078794,3.891155,3.744242,001,BL01,Theta
7.386643,4.833093,1.702453,3.217636,001,BL02,Theta
-0.519778,-0.827444,-1.141031,0.53736,001,BL03,Theta
0.915186,1.668645,1.278576,1.394142,001,BL04,Theta
1.162094,1.484361,0.255712,-3.989648,001,IBOE,Theta
1.714904,-2.618107,-2.619324,-1.265676,002,BL01,Theta
2.151637,-1.258742,-1.783199,-1.641876,002,BL02,Theta
3.265241,-2.479104,-1.37856,-1.889493,002,BL03,Theta
3.710459,1.698219,-0.277237,0.626802,002,BL04,Theta
3.395372,-0.22442,-0.400499,-0.630698,002,IBOE,Theta
-0.140431,1.464553,1.833323,1.908071,003,BL01,Theta
0.960006,1.240937,1.592702,1.024201,003,BL02,Theta
1.268909,1.549013,1.687105,2.215865,003,BL03,Theta
2.330379,2.494735,2.320274,3.137168,003,BL04,Theta
1.715375,1.124729,2.771509,1.131251,003,IBOE,Theta
-1.809836,0.614495,0.087297,2.661323,004,BL01,Theta
-0.03327,1.086764,-0.096587,2.711329,004,BL02,Theta
-2.016879,-0.493524,0.715301,-0.24006,004,BL03,Theta
1.892924,0.801656,-0.825829,4.419092,004,BL04,Theta
-9.978802,-12.683007,-12.576896,-11.451693,004,IBOE,Theta
-5.510783,-3.457037,-4.078856,-3.504203,005,BL01,Theta
-4.441841,-2.906077,-4.295148,-2.675075,005,BL02,Theta
-4.646362,-6.11533,-4.815991,-7.521792,005,BL03,Theta
-4.400687,-7.199568,-4.874318,-8.750801,005,BL04,Theta
-3.670667,-6.1346,-4.574281,-8.264368,005,IBOE,Theta
1.086218,0.206235,-0.210359,4.558566,006,BL01,Theta
-0.951844,-0.199921,-0.081474,4.250037,006,BL02,Theta
0.611852,-0.874871,0.072514,3.457501,006,BL03,Theta
0.701307,0.668265,0.28275,4.034153,006,BL04,Theta
0.69772,0.818646,0.809599,2.75739,006,IBOE,Theta
-0.335487,-0.379763,-0.044827,2.222411,007,BL01,Theta
-0.5524,-0.835089,0.00928,0.992499,007,BL02,Theta
1.057602,0.882875,1.425523,-1.59904,007,BL03,Theta
0.102389,-0.633061,-0.839377,-1.827229,007,BL04,Theta
0.320042,0.088734,0.451414,1.144946,007,IBOE,Theta
0.656527,1.496612,1.511159,3.327451,008,BL01,Theta
-1.547461,1.251976,0.799182,0.642245,008,BL02,Theta
-0.119181,1.663293,2.087134,2.83107,008,BL03,Theta
0.316857,1.838864,2.580321,3.117925,008,BL04,Theta
3.464301,5.329133,4.561715,6.52518,008,IBOE,Theta
