Freq. Range[4,7.990000e+00]
Name;#Ephocs;FP1;FPZ;FP2;AF3;AF4;F7;F5;F3;F1;F2;F4;F6;F8;FC5;FC3;FC1;FCZ;FC2;FC4;FC6;T7;C5;C3;C1;C2;C4;C6;T8;TP7;CP5;CP3;CP1;CPZ;CP2;CP4;CP6;TP8;P7;P5;P3;P1;PZ;P2;P4;P6;P8;PO7;PO3;POZ;PO4;PO8;O1;OZ;O2
001_BL01.set;1;5.891955;7.388945;8.832023;7.514412;4.667321;5.364661;5.457344;3.783928;3.865595;3.953470;2.760780;5.846486;6.191537;4.691874;1.895708;-0.532396;0.211027;-3.257617;2.739754;1.499562;4.404002;0.117289;0.886280;2.098346;2.247956;0.599547;0.578731;4.480091;2.325110;0.026278;1.162715;-7.353684;-0.273572;2.512602;-0.302731;2.899621;3.968557;4.186496;3.050376;-2.702634;0.385029;-1.410158;-3.841920;1.443683;3.567512;5.133358;3.340784;3.036697;1.613213;3.423293;3.809257;3.086690;3.876586;3.921843
001_BL02.set;1;6.994295;9.170854;11.689619;10.101541;6.749340;4.600215;5.723426;4.448371;4.771560;5.334718;2.309874;9.338728;6.288044;4.714825;2.606967;0.034254;-0.705982;-2.803977;4.407519;-0.158597;3.511026;-1.553998;2.065694;6.529420;5.856143;2.813799;-0.822294;6.725339;1.044719;-2.205873;3.579773;-6.989872;3.154617;6.439656;1.887967;2.224479;4.024176;4.304166;3.455047;-2.831979;3.910284;3.063803;-4.890281;3.087409;5.326072;5.326175;2.837730;4.614529;3.551780;4.884165;2.753565;2.742399;4.256096;4.305411
001_BL03.set;1;0.286731;-0.743921;-1.690825;-1.345809;-2.543311;-0.489474;-1.752510;-3.080688;-2.905796;-4.358535;-3.755432;-2.705727;-1.016365;-3.005875;-4.839457;-5.421162;-6.526890;-7.081438;-5.481069;-2.933814;-1.031856;-3.830584;-7.630417;-7.982966;-10.101917;-6.667230;-3.063201;-0.620711;-0.746394;-3.285209;-7.219672;-9.092328;-12.213408;-9.235221;-5.756628;-3.013510;-0.276229;-0.263631;-2.250435;-4.411837;-5.656366;-5.328722;-5.372747;-4.017110;-1.449137;0.538455;0.573050;-0.858457;-1.267395;-0.744689;1.234647;1.382551;1.135845;1.246727
001_BL04.set;1;1.782066;2.395772;1.320630;0.628089;0.769865;1.177386;-0.250168;-1.219925;-1.033729;-1.359059;-1.485088;-0.861765;0.087935;-1.495458;-3.359437;-4.297681;-4.435574;-4.849073;-3.926934;-1.958665;0.539450;-2.389561;-6.279540;-7.937474;-9.823976;-5.673278;-2.416830;0.445264;0.739755;-2.028049;-6.161032;-9.339056;-12.723559;-8.951787;-5.159360;-1.886777;0.909101;1.134780;-1.020130;-3.435349;-5.054347;-4.963962;-4.926033;-3.223545;-0.534952;1.766785;2.041086;0.282490;-0.280401;0.308779;2.481989;2.726928;2.283841;2.508083
001_IBOE.set;1;1.433562;2.298196;2.805308;0.877612;0.530318;0.953995;0.243321;-0.711416;-1.092416;-1.355064;-0.947218;0.320057;1.838129;-1.210715;-2.971136;-4.310273;-5.051633;-4.671587;-2.741350;-0.283801;0.229583;-2.007313;-5.912949;-7.770005;-8.805598;-4.196859;-1.234515;1.230522;-0.021978;-2.880090;-7.020147;-8.861537;-13.252413;-9.453135;-4.856422;-1.587511;0.879033;-0.773260;-3.133924;-5.941431;-8.824395;-9.648516;-8.234017;-5.265966;-1.989705;0.443165;-1.815598;-5.728779;-8.015452;-5.233510;-0.513815;-3.654406;-4.402561;-1.983072
002_BL01.set;1;10.689554;8.006104;9.160294;3.673814;0.800001;-0.592057;-1.953226;-1.716011;-1.218779;-1.626643;-2.071919;-2.164051;0.292875;-4.725953;-5.834605;-5.673013;-5.840850;-6.681993;-6.165360;-3.918099;0.749691;-7.546991;-7.380601;-11.164596;-12.692578;-9.194528;-5.603720;-2.574683;-3.125798;-5.879069;-7.923239;-12.464299;-15.518651;-10.004829;-8.545018;-8.017230;1.442496;-2.594649;-4.560458;-5.858596;-9.576270;-8.254692;-5.727946;-5.974185;-2.376161;-1.696373;-1.662852;-3.223892;-1.542750;-0.255334;0.480385;-0.934087;-0.846705;1.445715
002_BL02.set;1;5.272692;4.251826;5.872828;2.048178;0.638765;1.777699;-0.481757;-1.552155;-2.167381;-2.642002;-0.567193;-0.653973;2.070571;-3.090216;-4.971648;-5.990473;-7.146521;-7.927212;-5.786971;-2.397150;-1.487086;-5.919023;-6.906686;-10.603335;-12.714295;-8.798045;-4.605628;-1.758367;-2.671569;-5.443548;-7.915992;-12.335894;-16.921827;-10.432676;-8.532803;-6.869498;-1.950963;-2.811636;-5.146234;-7.220465;-13.287802;-9.530779;-6.724449;-6.032162;-2.688321;-1.773768;-2.258213;-4.550139;-2.940482;-0.843121;0.360252;-1.675550;-1.409359;0.819867
002_BL03.set;1;7.240792;6.370656;7.618124;3.489860;1.749746;0.359441;-0.934329;-1.194296;-1.053134;-1.627352;-0.736257;-0.808039;-0.563943;-4.041911;-5.539272;-5.599745;-6.009172;-6.285368;-5.223631;-3.815497;-2.565574;-7.457583;-7.526209;-10.682885;-11.782338;-8.580094;-6.709217;-3.215078;-2.787014;-5.304535;-7.659460;-12.253399;-13.881237;-8.083780;-9.894847;-9.481595;-3.478187;-2.650465;-4.587303;-5.837754;-9.171808;-8.971840;-7.736892;-11.204113;-4.746481;-4.129571;-1.832916;-3.804519;-3.025525;-2.576721;-2.625934;-1.493785;-2.103057;-0.555621
002_BL04.set;1;8.188366;8.560141;9.665609;4.428377;2.590369;0.132629;-0.677750;-0.481989;0.140557;-0.623351;-0.376974;-0.650417;1.470185;-4.162788;-5.453113;-5.186890;-5.201043;-6.071993;-5.228815;-1.961624;-0.563674;-6.186565;-6.725011;-10.699655;-12.521013;-7.719999;-3.067248;0.539668;-1.015726;-4.313016;-6.804057;-12.399594;-15.964760;-9.314722;-7.097232;-5.107695;0.672896;-1.050887;-3.304180;-4.872976;-9.079523;-8.271877;-5.086356;-4.741050;-1.082244;0.656757;-0.711377;-2.851895;-1.528427;-0.048776;1.769820;-0.104187;-0.293129;2.115452
002_IBOE.set;1;4.741223;3.570755;4.738333;2.071706;0.549230;1.377467;-1.046348;-1.465349;-1.881149;-2.258745;-1.425264;-1.403487;-0.248607;-3.075318;-4.877298;-5.358592;-6.032156;-6.579965;-5.422991;-3.514280;1.457863;-5.839184;-6.367158;-10.544594;-11.853449;-8.675865;-5.579207;-1.695791;-1.182838;-4.155518;-6.696102;-10.092168;-14.724996;-9.424429;-7.754469;-6.752799;-1.061789;-0.720716;-3.034862;-4.615152;-6.544686;-7.149003;-5.420931;-4.625065;-1.874774;-0.522283;0.100659;-1.672038;-0.730450;0.162661;1.362931;0.391682;0.324606;1.666935
003_BL01.set;1;2.426479;1.644698;0.033477;0.684859;-0.612799;4.178204;1.925484;-0.743978;-1.287711;-0.969368;-0.939682;0.759814;3.581414;0.641693;-1.743950;-2.630215;-2.730166;-3.652720;-2.143692;0.689465;2.686710;-0.024052;-2.400376;-5.653692;-6.438506;-3.737562;-0.072983;2.282914;2.532164;0.253464;-2.434395;-5.160658;-7.777308;-4.844071;-3.165050;-0.351573;2.048437;2.689166;1.271466;-0.523074;-2.770745;-2.746476;-2.588628;-1.142123;0.139584;2.138742;3.482577;2.102359;0.670763;1.381595;2.468196;3.335185;2.551271;2.297252
003_BL02.set;1;1.486864;0.739039;0.202698;0.406268;-0.720295;3.355253;1.487346;-1.248093;-2.124475;-2.044810;-1.628908;-0.341306;1.940141;-0.047991;-2.438745;-4.003342;-3.895876;-4.456178;-3.279349;-0.591458;1.798001;-0.856901;-3.191977;-7.405762;-8.347689;-5.126927;-1.779940;0.580898;1.551505;-0.499301;-3.253075;-6.728748;-9.920772;-6.628303;-4.799631;-1.741074;0.637692;1.747320;0.574160;-0.931633;-3.466866;-3.596152;-2.980699;-2.031577;-1.050186;0.805441;2.495049;1.717170;0.047575;0.949871;1.295575;2.435937;1.531218;1.559587
003_BL03.set;1;4.238072;0.239329;-0.165031;0.134106;-0.753859;3.149981;1.274208;-1.437003;-2.180810;-1.850704;-1.712360;-0.483026;1.887186;-0.603750;-2.816282;-3.860173;-3.608221;-4.685739;-3.255512;-0.720437;1.352665;-1.298791;-3.754758;-7.625151;-8.617823;-5.259585;-1.704928;0.552509;1.191935;-0.669368;-3.358168;-6.761095;-10.459998;-5.698024;-4.424937;-1.524813;0.676921;1.444626;0.338735;-0.887546;-3.351801;-2.904426;-2.786012;-1.566218;-0.723819;1.017915;2.392006;1.864754;0.476656;1.354160;1.693958;2.415939;1.676647;1.958742
003_BL04.set;1;5.189149;4.052116;1.574954;1.668346;-0.250995;3.756592;1.609937;-0.805364;-0.970966;1.572524;-1.127459;0.586310;3.349062;0.120773;-2.092159;-2.742930;-2.401535;-3.486264;-2.228524;0.694129;2.440339;-0.221481;-2.780314;-5.943798;-6.259352;-3.461087;-0.093765;2.471654;2.547083;0.441057;-2.524425;-5.077968;-7.495305;-4.583233;-2.997026;-0.120042;2.338518;2.834618;1.498284;-0.190708;-2.598112;-2.416952;-2.118547;-0.586505;0.471088;2.117019;3.636660;2.438946;0.986742;1.880816;2.720199;3.628309;2.787451;2.814003
003_IBOE.set;1;2.681450;3.610253;2.183136;0.874673;1.070679;0.727262;-0.142071;-1.012545;-1.136787;-0.991842;-0.584010;0.026612;1.410856;-1.436112;-3.014576;-3.293795;-3.009302;-3.374008;-2.628132;-0.613327;1.232295;-1.596184;-4.290233;-7.188238;-7.454785;-4.749381;-1.826352;0.441489;1.387425;-0.467223;-3.304060;-6.436922;-10.008877;-6.679130;-4.736002;-1.927937;0.465808;1.702668;-0.114123;-1.411017;-3.333526;-3.203642;-3.048093;-1.739226;-1.281103;0.602013;2.233504;0.812162;-0.250139;0.270901;1.102068;2.150267;1.296479;1.323845
004_BL01.set;1;0.898165;0.267569;1.385351;-1.058660;0.427451;0.365000;-0.931537;-0.565064;-0.617035;0.598223;0.178504;0.148418;1.229661;-1.142338;-1.460693;-0.938163;-2.014633;-1.342391;-1.616672;-0.120420;1.436028;-1.151463;-5.454548;-6.898136;-8.053028;-4.237711;-0.601114;1.363802;0.901678;-1.918634;-4.987554;-7.892952;-6.136037;-6.874521;-2.761857;-0.484034;1.589301;-0.010419;-4.765058;-1.437624;-0.935549;0.373713;-1.672919;-0.992598;1.629377;2.145612;1.300619;3.176523;2.384205;2.518849;2.188177;2.220146;2.607957;2.706342
004_BL02.set;1;0.211917;-0.405710;0.394572;-0.293240;1.218022;3.254059;1.007832;0.382096;-1.013734;-0.521229;-0.203885;0.708796;2.229047;-0.569462;-0.631182;-1.806638;-3.236353;-3.455894;-2.016182;0.063530;1.552508;-0.886961;-5.521895;-6.875219;-8.728348;-4.458057;-0.217192;1.158601;0.712250;-1.336945;-4.196153;-8.047398;-6.297212;-6.750733;-2.155182;-0.022541;1.513137;0.341816;-3.861650;-0.308901;-0.483917;-0.963048;-1.703803;-1.237471;1.898972;1.930234;2.179449;3.723768;2.716834;2.417776;2.045249;2.247100;2.683900;2.816504
004_BL03.set;1;0.285066;0.690196;0.890832;-0.267662;1.320500;1.322968;-0.524623;0.042222;0.366307;1.291934;0.812736;0.158068;0.955683;-1.459985;-0.990215;-1.307394;-2.269388;-1.936337;-1.608716;0.154546;2.659596;-0.512377;-5.547844;-7.151611;-8.019459;-5.647695;-0.547345;1.692107;2.862433;0.622724;-2.641760;-7.423610;-6.682404;-8.741347;-4.202946;-1.198230;1.070320;2.821744;0.478035;1.080991;-0.109332;-1.245983;-4.233487;-7.680227;-0.490463;0.874864;3.931367;4.099317;1.889551;0.238458;0.507729;2.607199;2.200503;1.640084
004_BL04.set;1;5.318351;4.400785;3.942746;3.421325;2.470515;2.295431;0.810716;1.544285;1.049018;2.561865;1.020023;-0.442645;-0.297957;-0.702831;-0.330280;0.117131;-0.242051;-0.841152;-1.526704;-0.714251;0.228951;-1.788642;-3.979266;-4.757587;-4.284166;-3.308411;-1.104632;0.757072;-0.637551;-1.309068;-2.821922;-4.804237;-4.129245;-3.238888;-1.953657;-0.237361;1.435669;-0.520315;-1.212976;0.937089;1.009125;2.066853;0.163231;1.198332;2.054553;2.735075;1.452553;4.427473;3.721789;4.006335;3.151363;3.140860;3.729927;4.061282
004_IBOE.set;1;4.836781;3.540930;4.793364;3.065864;1.668829;6.339986;0.944160;0.982616;0.840194;4.758223;4.328827;0.171396;3.486304;-0.087300;-0.553159;0.427069;14.506002;-1.677104;-1.658793;1.551032;3.369897;0.534086;-2.795196;-3.683798;2.583951;-0.755363;2.343834;1.713576;3.007774;1.141519;-0.909206;-4.008805;-2.015297;-4.634444;-1.217946;5.906599;3.355604;3.425465;0.650418;3.819030;3.767427;9.878484;3.671457;2.866739;5.786254;2.012425;4.217089;4.052200;2.449338;2.231282;2.787598;5.933215;4.037667;8.215005
005_BL01.set;1;-3.157120;-3.883348;-2.352370;-4.760273;-3.296183;-4.630505;-9.275001;-5.999404;-6.113062;-7.909369;-6.780289;-4.584408;-1.680155;-5.813684;-9.110809;-9.432776;-10.615892;-11.415548;-9.190231;-7.941036;-3.078558;-8.470647;-9.314406;-15.647895;-12.938622;-10.699518;-6.205551;-3.761297;-3.677313;-7.709042;-11.267030;-9.114518;-12.404190;-10.687076;-9.214461;-7.313545;-4.188531;-2.920833;-7.154575;-5.764072;-7.025827;-7.755892;-10.059228;-7.041336;-4.138582;-1.571861;-3.300347;-4.660268;-5.574350;-5.471459;-2.931113;-0.340999;-0.885557;-2.075486
005_BL02.set;1;-4.814568;-5.681953;0.934846;-5.766208;-4.671059;-2.704182;-7.492907;-6.278561;-5.702282;-6.965091;-5.996482;-6.701659;-1.804227;-5.955578;-10.014363;-9.792857;-10.441480;-10.609034;-8.919832;-8.204958;-5.448459;-9.160700;-10.704178;-15.565311;-12.423354;-11.164614;-6.622626;-2.851314;-4.553671;-8.291973;-11.265675;-8.924176;-12.962271;-11.479532;-9.791453;-8.083664;-4.445224;-2.848506;-7.076103;-5.550033;-6.713180;-7.725270;-10.388893;-7.278651;-4.791407;-0.206273;-3.085635;-4.525944;-5.313894;-5.092074;-3.084781;-0.223541;-0.710342;-2.006999
005_BL03.set;1;-1.126066;-3.531361;1.143246;-4.738751;-5.243525;-2.606560;-7.766958;-5.330867;-5.226012;-7.617365;-7.835001;-6.129698;-6.054305;-5.863127;-8.812228;-9.385295;-10.776615;-11.875201;-11.568877;-8.481668;-4.028568;-7.933466;-9.565008;-15.000851;-13.035111;-12.697089;-6.699582;-5.008743;-4.541584;-8.161805;-12.649052;-9.189859;-13.122984;-11.596128;-10.180818;-8.460281;-5.629012;-4.778613;-8.701535;-7.317319;-8.466526;-9.302913;-11.856477;-8.490839;-5.923305;-3.766313;-7.755104;-7.618888;-8.331508;-8.271318;-6.293366;-4.757244;-5.215316;-7.341420
005_BL04.set;1;1.870297;-0.702133;0.781245;-3.545414;-5.038645;-4.792820;-10.361598;-5.724730;-5.177784;-6.977400;-7.156297;-7.386198;-5.959767;-6.972728;-9.427859;-9.177970;-10.569616;-11.306860;-10.750285;-11.665557;-4.874560;-8.941980;-9.839520;-15.445872;-11.408198;-12.983372;-9.087451;-6.958418;-5.589216;-8.872680;-13.041827;-9.664232;-13.352665;-12.535926;-10.806182;-10.661423;-6.914647;-4.966152;-9.492830;-7.400773;-9.044112;-10.150859;-13.341506;-10.388645;-7.554952;-5.087928;-6.642997;-10.119408;-10.405660;-12.065240;-6.763693;-5.045300;-7.542725;-9.045595
005_IBOE.set;1;0.222606;-1.757076;0.555040;-4.170905;-5.067693;-3.138486;-6.233016;-4.658984;-5.257665;-7.170573;-7.964157;-9.016979;-5.620843;-5.711812;-9.081344;-9.665315;-11.166676;-11.535877;-9.363892;-11.450387;-4.594490;-8.082382;-9.781278;-17.799303;-13.730897;-11.749886;-7.606386;-6.355657;-4.825206;-9.315282;-11.921338;-10.022470;-13.978223;-12.042158;-10.626268;-9.475905;-6.225706;-4.909896;-9.990406;-7.848645;-9.662327;-10.701641;-14.556429;-9.957861;-7.368070;-4.150444;-6.961987;-9.179036;-14.460389;-12.427758;-7.060682;-4.252954;-5.334674;-7.302513
006_BL01.set;1;3.352781;0.969357;2.457850;0.934063;0.840179;-0.429931;-0.031325;0.055430;-1.699404;-0.158113;-0.575242;-1.715422;-1.676207;-2.687708;-2.261825;-3.462004;-3.076860;-3.541446;-3.809358;-2.961491;-0.144513;-1.827198;-1.008548;-7.296641;-8.110349;-4.870215;-3.324754;-0.365691;0.342679;-1.415535;-4.126818;-7.372688;-9.962620;-5.601061;-4.919800;-0.995057;0.915527;1.181662;-0.324903;-1.740633;-3.283738;-2.202608;0.016209;1.595899;2.606401;2.914184;2.528699;2.289176;4.196742;5.852387;5.235251;4.836727;6.033820;5.536269
006_BL02.set;1;1.381310;-1.258307;0.739252;-2.287496;-0.232735;1.436010;-0.699526;-3.296423;-9.222505;-2.743975;-1.455279;-0.050602;1.590653;-2.422048;-4.689145;-6.394480;-5.754991;-4.822480;-4.008387;-1.393080;1.179049;-1.451002;-3.577311;-8.474543;-8.232947;-5.344070;-1.945570;1.126028;1.269007;-0.912728;-4.095602;-7.780818;-11.288548;-6.389149;-4.845827;-0.325450;2.331543;1.937702;0.227244;-2.013683;-4.367700;-4.697783;-2.024532;0.635397;2.425062;3.614359;2.759412;1.312244;0.851152;3.685194;4.915499;4.312442;4.350454;4.354142
006_BL03.set;1;1.931787;-1.337915;0.006733;-0.476121;0.414015;1.638463;0.215219;-0.584668;-2.455283;-0.852005;-0.604163;0.407419;1.693751;-1.388417;-2.456669;-3.648638;-3.654967;-4.005843;-3.729871;-1.494059;0.581858;-1.466892;-2.984751;-7.661780;-8.974428;-5.436645;-2.978413;-0.457539;-0.117896;-1.973150;-4.834530;-8.251922;-11.434620;-7.170988;-6.482591;-2.248756;-0.171674;-0.266873;-2.115077;-4.114892;-5.863536;-6.150950;-3.411872;-0.597637;0.674638;1.004282;0.917189;-1.092298;-1.166955;2.319597;2.834953;2.007535;1.473592;2.099532
006_BL04.set;1;1.946138;-0.202067;0.260928;0.067635;-0.090425;2.333470;0.480105;-0.342195;-1.867225;-0.696851;-1.337177;-1.880071;-0.320798;-1.220102;-2.626670;-3.334104;-3.090708;-3.669048;-4.107844;-2.875146;1.333910;-1.851181;-3.384478;-7.574291;-8.344742;-4.840229;-2.986420;0.783452;0.773127;-1.693461;-4.163955;-7.205674;-10.098894;-5.710474;-4.632900;-1.071610;1.272898;1.016705;-0.693635;-2.109736;-3.135911;-1.961161;-0.234426;1.278314;2.373887;2.858760;2.065828;1.821595;3.700404;5.313597;4.903304;4.364471;5.351817;5.069817
006_IBOE.set;1;3.609843;0.640601;2.449132;-0.867025;0.221138;1.436214;-0.429760;-2.472849;-7.690666;-2.556312;-1.766531;-0.833441;0.856077;-2.385732;-4.422764;-6.108176;-5.110559;-4.591695;-4.094918;-1.769029;0.674635;-0.786214;0.381488;-8.979867;-8.586860;-4.895038;-2.098921;0.756863;1.082420;-1.288538;-4.152972;-7.629062;-10.990697;-6.396474;-5.111564;-0.839571;1.806945;1.541321;-0.244365;-2.031401;-3.901796;-3.449749;-1.802788;-0.026329;1.493474;2.716749;2.367534;1.065703;1.598996;3.228410;3.813454;3.783043;3.993314;3.742737
007_BL01.set;1;0.986741;0.337079;0.288322;-0.284844;-0.061257;1.117787;0.113742;-0.611136;-0.873733;-1.154861;-0.599928;-0.319305;0.659833;-1.106885;-2.835820;-3.188424;-2.857042;-2.891375;-2.494547;-1.058432;0.255770;-1.806219;-4.431679;-9.634273;-8.548563;-4.980436;-2.868430;0.414544;1.279269;-2.811216;-3.926752;-7.206497;-13.148218;-7.778693;-3.260632;-2.333044;0.046115;0.860480;-1.072307;-1.298292;-1.604097;-2.996309;-2.370606;-1.691581;-1.469775;0.991930;1.879853;2.219322;0.262062;1.884985;1.682240;2.922497;3.421649;2.408668
007_BL02.set;1;2.757691;0.820091;0.494846;-0.285999;0.041959;1.648911;0.369602;-0.828712;-1.173665;-1.235877;-0.221095;0.016991;1.042026;-0.870652;-2.782873;-3.229019;-3.228462;-4.026517;-2.122831;-0.757618;0.621475;-2.300175;-5.072943;-8.965817;-7.092675;-4.327572;-2.244204;0.543453;1.538210;-2.932164;-4.676088;-7.791530;-10.174209;-7.464484;-3.299116;-1.728919;0.640786;0.782070;-1.480969;-3.045160;-2.193547;-2.988884;-2.630024;-1.678360;-0.678748;1.695385;1.611601;0.992614;-0.055166;1.653376;2.562613;2.310552;2.679851;2.375730
007_BL03.set;1;1.075074;1.228484;1.013701;0.428593;0.620051;2.498703;0.656786;-0.082576;-0.615229;-0.725016;-0.111228;-0.095938;0.572524;-0.150901;-1.711256;-2.616044;-2.791222;-3.360474;-1.598427;-0.508260;1.825824;-1.466114;-3.555062;-7.501718;-6.879104;-3.890613;-2.263639;0.449140;0.788242;-2.114417;-4.080916;-8.134714;-10.233612;-8.271059;-3.883381;-2.217829;0.399128;0.606955;-2.180013;-3.447407;-5.926025;-7.175352;-5.616492;-3.648691;-2.311433;0.340460;-0.581937;-3.752646;-9.640853;-2.296098;0.256640;-1.388961;0.567097;-1.086915
007_BL04.set;1;0.739885;1.454156;1.710044;0.518519;0.966266;-0.089575;-0.160600;-0.099001;-0.041134;-0.349541;0.083996;0.108697;0.857030;-1.482536;-3.267068;-1.991232;-1.934855;-1.808691;-1.446660;-0.780205;-0.733060;-2.418840;-3.420606;-6.791868;-6.031266;-3.907622;-2.468232;-0.046848;-1.075459;-3.152208;-2.119778;-6.335084;-8.988564;-5.025436;-3.357614;-2.361263;-0.524696;-0.593222;-3.354301;-2.117321;-3.466593;-4.424234;-3.416186;-2.778077;-2.459343;-0.065781;-1.299622;-1.317769;-7.481297;-1.396140;-0.342587;-1.240268;-0.984800;-1.361536
007_IBOE.set;1;0.018099;0.354765;0.602687;-0.462884;0.049476;0.833253;-0.119359;-0.687473;-0.805120;-0.911713;-0.610835;-0.412322;0.535194;-1.092187;-2.572675;-3.173541;-2.848168;-3.231200;-2.231846;-0.884112;0.459640;-1.012394;-4.106388;-8.007497;-7.448870;-4.223512;-2.430618;0.336576;0.923078;-2.367399;-3.526585;-6.196419;-10.374947;-6.556783;-3.113039;-2.171928;0.280515;0.899341;-0.768843;1.530969;-1.800395;-3.247807;-2.746806;-2.071698;-1.409429;1.279509;1.284026;1.204184;-1.116900;0.532765;0.380047;1.573229;1.819665;1.037199
