Freq. Range[4,7.990000e+00]
Name;#Ephocs;Power
001_BL01.set;1;2.501178
001_BL02.set;1;3.418458
001_BL03.set;1;-3.308669
001_BL04.set;1;-2.007620
001_IBOE.set;1;-3.042272
002_BL01.set;1;-3.632637
002_BL02.set;1;-4.018920
002_BL03.set;1;-4.166679
002_BL04.set;1;-2.734681
002_IBOE.set;1;-3.173774
003_BL01.set;1;-0.340521
003_BL02.set;1;-1.329878
003_BL03.set;1;-1.299613
003_BL04.set;1;-0.062003
003_IBOE.set;1;-1.271794
004_BL01.set;1;-0.833939
004_BL02.set;1;-0.718485
004_BL03.set;1;-0.793933
004_BL04.set;1;0.445258
004_IBOE.set;1;2.333391
005_BL01.set;1;-6.524175
005_BL02.set;1;-6.628558
005_BL03.set;1;-7.602114
005_BL04.set;1;-8.260716
005_IBOE.set;1;-8.176159
006_BL01.set;1;-0.783119
006_BL02.set;1;-1.519733
006_BL03.set;1;-1.923976
006_BL04.set;1;-0.925619
006_IBOE.set;1;-1.389844
007_BL01.set;1;-1.510043
007_BL02.set;1;-1.414523
007_BL03.set;1;-2.121929
007_BL04.set;1;-1.923519
007_IBOE.set;1;-1.459398
