Freq. Range[8,1.299000e+01]
Name;#Ephocs;FP1;FPZ;FP2;AF3;AF4;F7;F5;F3;F1;F2;F4;F6;F8;FC5;FC3;FC1;FCZ;FC2;FC4;FC6;T7;C5;C3;C1;C2;C4;C6;T8;TP7;CP5;CP3;CP1;CPZ;CP2;CP4;CP6;TP8;P7;P5;P3;P1;PZ;P2;P4;P6;P8;PO7;PO3;POZ;PO4;PO8;O1;OZ;O2
001_BL01.set;1;5.341785;7.290916;8.902877;7.538161;4.605688;4.076759;5.107089;3.909858;3.971792;4.402578;2.846954;5.809662;5.361414;4.764485;2.191261;-0.043343;0.892799;-2.887449;3.218736;1.114821;4.205117;-0.067372;1.390069;2.774168;2.675406;1.001074;0.562971;4.664892;1.825096;-0.174539;1.472770;-8.934700;-0.390738;2.608861;-0.025501;3.307174;4.312512;4.170548;3.230837;-3.959357;0.472877;-1.478520;-4.857276;1.839687;4.087248;5.538465;3.134673;3.165941;1.832350;3.945440;4.079078;2.799607;3.972830;4.300915
001_BL02.set;1;5.673544;8.119614;10.757868;9.017784;5.261476;2.335825;4.037221;3.079283;3.549763;4.032513;1.077330;8.103905;4.353575;3.213695;1.363202;-0.793206;-1.418359;-0.509793;3.236751;-0.104754;1.868498;-2.189888;0.873190;5.950909;5.287248;1.905650;-1.002902;5.965468;-0.374428;-2.641846;2.866128;-7.937686;3.804976;6.504438;1.612176;1.829212;3.539485;2.894836;2.277770;-4.486013;3.735767;3.363695;-5.062244;3.021079;4.969623;4.940237;1.580370;3.648910;3.289649;4.639375;2.800873;1.597528;3.563641;3.995979
001_BL03.set;1;-0.393485;-0.874357;-1.158939;-1.758173;-2.184778;-1.357719;-2.040285;-2.907764;-2.979421;-3.604266;-3.123207;-2.596512;-1.835916;-3.049392;-4.340732;-4.603937;-5.401473;-5.535355;-4.410617;-2.842673;-1.738616;-3.912871;-6.846417;-7.433860;-9.299359;-5.869613;-3.166889;-1.063998;-1.454525;-3.741409;-7.403505;-10.449334;-11.432451;-9.363616;-5.855194;-2.925841;-0.512858;-0.967387;-2.958820;-5.248074;-6.839480;-6.342652;-6.409955;-4.344768;-1.651094;0.223484;-0.107596;-1.878389;-1.828107;-1.100559;1.043366;0.444644;0.288999;0.952904
001_BL04.set;1;1.768072;1.706771;1.114850;0.817829;0.592237;1.040350;0.317398;-0.401188;-0.551539;-0.719303;-0.607854;-0.295000;0.231335;-0.813758;-2.059307;-2.773554;-3.037965;-3.271362;-2.503505;-1.120445;0.250695;-1.971808;-4.896368;-7.380522;-8.374936;-4.582641;-1.836503;0.570231;0.297330;-2.215068;-6.330934;-10.790106;-10.915003;-9.701858;-5.321995;-1.753671;0.855895;0.568391;-1.497123;-4.244836;-6.071851;-5.591973;-5.912722;-3.710934;-0.770472;1.431039;1.389400;-0.508414;-1.072766;-0.232372;2.051261;1.912524;1.516180;2.027359
001_IBOE.set;1;2.321681;2.474025;3.257452;1.485762;1.490431;1.876171;1.361904;0.253119;-0.210221;-0.214483;0.402675;1.349928;2.329487;0.372054;-1.162288;-2.353964;-3.103174;-2.635180;-0.886185;0.922003;1.632599;-0.385612;-3.228636;-6.618712;-6.240801;-2.082724;0.470997;2.594306;1.799380;-0.857800;-4.547653;-9.512644;-11.216738;-7.554172;-2.917570;0.574511;3.081366;1.560468;-0.964039;-4.196748;-7.311951;-7.345362;-6.642426;-2.887267;0.864706;3.583878;1.303663;-3.721421;-6.471656;-1.892557;3.269445;-0.738737;-2.905041;0.980980
002_BL01.set;1;9.761414;7.496322;8.633255;3.396598;0.965325;0.468217;-1.101069;-1.152019;-1.052773;-1.780539;-1.189553;-1.194414;1.067186;-2.254713;-4.060221;-4.619726;-5.341912;-5.905530;-4.806236;-2.256844;-0.406618;-5.153168;-5.472005;-9.307427;-11.439822;-6.496917;-2.818436;-0.214668;-1.281025;-3.657918;-6.242672;-12.420970;-15.602738;-8.603883;-5.661942;-5.088090;0.742075;-1.543300;-3.400690;-5.197651;-9.047218;-8.304694;-5.347810;-5.206587;-1.038775;-0.278045;-1.336224;-3.435075;-2.078120;-0.463060;0.983271;-1.401227;-1.230678;1.416567
002_BL02.set;1;5.759236;4.727031;5.921250;2.789753;1.143028;3.722968;1.103623;0.066650;-0.722702;-1.944678;-0.102048;-0.214187;1.806216;0.922888;-2.109369;-3.603028;-5.254533;-6.411763;-4.658313;-0.465143;1.592805;-2.251876;-4.107761;-7.947293;-11.138004;-5.508573;-1.034596;1.593176;0.532637;-2.559973;-5.825585;-12.779622;-16.513217;-7.182262;-4.203058;-2.677085;1.533022;-0.476293;-2.993020;-5.893717;-12.181122;-9.078615;-4.582615;-3.980577;-0.077239;0.868318;-0.769438;-3.691506;-2.565157;-0.119446;1.557692;-0.925022;-1.082498;1.315233
002_BL03.set;1;7.799242;6.978264;8.348206;4.092778;2.635711;2.514741;0.554981;0.007421;-0.147243;-0.865752;0.716797;0.630377;1.880935;-0.669149;-3.314498;-4.326229;-4.864958;-5.148915;-3.510018;-1.400466;0.457383;-3.828944;-5.298010;-9.543980;-10.712359;-5.924322;-3.346445;-0.282413;0.008363;-2.741544;-5.605297;-12.211578;-14.825674;-8.955077;-7.380390;-6.769497;-0.727546;-0.571058;-2.405703;-4.327578;-8.129050;-8.585459;-7.634255;-11.204911;-3.589823;-2.323684;-0.632049;-2.976683;-2.912198;-3.638947;-2.322426;-1.239945;-2.461345;-1.083431
002_BL04.set;1;7.235104;7.196763;8.307092;3.668427;1.692436;1.332699;-0.173055;-0.479194;-0.362716;-1.423039;-0.096209;-0.227370;1.985954;-1.465432;-3.973119;-4.612669;-5.297219;-5.969116;-4.271252;-0.819327;0.921835;-3.941226;-5.465669;-9.603125;-11.287574;-5.907614;-1.172559;2.197645;0.506483;-2.586842;-5.756121;-12.656570;-16.104790;-8.430785;-4.934628;-3.026776;2.260750;-0.155207;-2.206141;-4.396236;-8.575557;-8.255274;-4.890063;-3.803579;0.236788;1.925269;-0.295486;-2.751472;-1.956653;0.206289;2.573721;-0.436428;-0.396004;2.366560
002_IBOE.set;1;8.802188;7.893618;8.602691;6.601352;5.333843;6.543135;4.574481;4.080168;3.571217;2.752773;3.872441;3.833241;4.835311;3.452238;1.537335;0.654951;-0.245720;-0.822162;0.273692;2.483820;5.676127;0.612532;-0.053137;-4.185666;-7.089581;-2.042023;1.632339;5.060112;5.690110;3.023829;0.152978;-6.170626;-8.868621;-2.263580;0.526837;0.841296;6.176628;6.505284;4.597191;2.930971;0.370397;0.074379;2.846697;4.212928;6.783071;7.686387;7.722086;5.802280;6.595970;8.810724;10.149511;7.086806;7.130644;9.613248
