Freq. Range[8,1.299000e+01]
Name;#Ephocs;Power
001_BL01.set;1;2.516656
001_BL02.set;1;2.648499
001_BL03.set;1;-3.448016
001_BL04.set;1;-1.914454
001_IBOE.set;1;-1.281348
002_BL01.set;1;-2.795607
002_BL02.set;1;-2.234730
002_BL03.set;1;-2.811364
002_BL04.set;1;-2.102746
002_IBOE.set;1;3.264236
003_BL01.set;1;-2.347754
003_BL02.set;1;-2.752041
003_BL03.set;1;-3.023463
003_BL04.set;1;-2.007748
003_IBOE.set;1;0.234682
004_BL01.set;1;-4.326399
004_BL02.set;1;-4.296540
004_BL03.set;1;-4.412537
004_BL04.set;1;-3.346398
004_IBOE.set;1;0.181874
005_BL01.set;1;-8.624020
005_BL02.set;1;-9.017477
005_BL03.set;1;-9.770509
005_BL04.set;1;-10.237181
005_IBOE.set;1;-10.070860
006_BL01.set;1;-4.934888
006_BL02.set;1;-5.334172
006_BL03.set;1;-5.613819
006_BL04.set;1;-5.098537
006_IBOE.set;1;-4.636623
007_BL01.set;1;-3.442603
007_BL02.set;1;-3.059018
007_BL03.set;1;-3.594008
007_BL04.set;1;-4.122599
007_IBOE.set;1;-1.162631
