Freq. Range[13,30]
Name;#Ephocs;FP1;FPZ;FP2;AF3;AF4;F7;F5;F3;F1;F2;F4;F6;F8;FC5;FC3;FC1;FCZ;FC2;FC4;FC6;T7;C5;C3;C1;C2;C4;C6;T8;TP7;CP5;CP3;CP1;CPZ;CP2;CP4;CP6;TP8;P7;P5;P3;P1;PZ;P2;P4;P6;P8;PO7;PO3;POZ;PO4;PO8;O1;OZ;O2
001_BL01.set;1;0.590891;3.398884;5.166270;3.539999;-0.223810;-1.397778;0.361693;-0.946604;-0.885014;-0.216943;-2.510754;1.236615;-0.004008;0.187113;-2.753693;-5.798733;-4.194876;-9.763726;-1.482021;-5.797322;-0.953561;-6.259722;-2.981878;-0.725083;-0.709353;-3.648937;-5.776919;-0.711127;-3.783484;-5.902981;-2.249238;-12.835338;-2.852117;-0.233766;-4.316882;-1.399966;-1.303096;-0.334431;-1.025617;-9.388542;-2.995733;-5.104480;-9.418657;-2.197034;-0.476286;0.653952;-1.917404;-1.153871;-2.986611;-0.599383;-1.196215;-2.611492;-0.952969;-0.704732
001_BL02.set;1;3.883236;6.397409;8.784838;7.245541;3.469334;-0.804719;2.234875;1.276204;1.803715;2.316474;-1.732883;6.321508;1.905325;1.616951;-0.449923;-3.179417;-3.896824;-7.957969;1.308441;-7.649308;-0.147411;-7.426357;-0.717304;3.819382;3.128147;-0.210053;-6.203599;3.721247;-4.147207;-8.902641;0.846509;-11.766459;0.329384;3.684221;-1.051535;-1.105481;0.600485;1.047595;0.416562;-9.650362;1.025282;0.115967;-10.196163;0.248880;2.469090;2.295195;-1.044787;1.311696;0.201278;1.889115;-1.033626;-1.848204;0.761971;1.184190
001_BL03.set;1;-5.318537;-6.411727;-7.362502;-6.873819;-7.883858;-6.237066;-6.612234;-8.346125;-9.080795;-9.527382;-9.088749;-8.180957;-7.393068;-8.176210;-9.897354;-10.983049;-12.541485;-12.339136;-10.758477;-9.091251;-7.396482;-9.170547;-12.478931;-12.900944;-14.599601;-12.106059;-9.393511;-7.613604;-7.258296;-9.272714;-12.387593;-14.575366;-16.951862;-14.162042;-11.575895;-9.296190;-7.113339;-6.661317;-8.627563;-10.582536;-11.657271;-11.566279;-11.393089;-9.852101;-7.725051;-5.782321;-5.713730;-7.637255;-8.156397;-6.959963;-4.234157;-5.009556;-5.091987;-3.920307
001_BL04.set;1;-4.172515;-4.024218;-5.169359;-5.719669;-5.320241;-5.802142;-6.748547;-7.700102;-8.152127;-8.025979;-7.715425;-7.378008;-7.114397;-7.783958;-9.291672;-10.629889;-11.108122;-11.038336;-10.154692;-8.919516;-6.936176;-8.808326;-12.152543;-12.983423;-15.005672;-12.117534;-9.596802;-7.330451;-6.531433;-8.931245;-12.340533;-15.069268;-17.819289;-14.685074;-11.758912;-9.239536;-6.784293;-6.130196;-8.217855;-10.311330;-11.430964;-11.615544;-11.394232;-9.938382;-7.782599;-5.742847;-5.300319;-7.161057;-7.642716;-6.841674;-4.399020;-4.599169;-4.717091;-3.911980
001_IBOE.set;1;-5.296259;-4.998334;-3.929485;-6.308844;-6.509990;-6.368042;-6.602182;-7.569470;-8.241788;-8.163600;-7.668287;-6.650601;-5.866775;-7.667774;-9.139947;-10.633731;-11.442988;-11.078181;-9.253213;-7.557358;-7.012892;-8.611231;-11.707647;-12.890897;-14.498077;-10.882182;-8.559226;-6.429459;-6.832185;-9.135389;-12.199993;-15.119560;-17.573418;-14.569597;-11.290303;-8.715262;-6.229202;-6.957405;-9.066144;-11.366678;-13.502110;-14.645395;-13.202835;-10.974306;-8.379057;-6.058195;-7.701201;-10.661867;-12.421375;-10.174434;-6.147646;-9.456487;-9.846288;-7.170029
002_BL01.set;1;8.794338;6.509089;7.737352;1.990641;-1.280675;-2.081487;-3.883552;-4.675150;-4.448971;-4.754236;-2.707856;-2.742552;-0.656804;-3.751647;-7.378756;-8.608737;-8.922152;-9.012457;-6.038764;-1.377541;-5.820861;-8.152711;-8.950326;-13.040157;-14.696112;-8.976255;-4.172206;-3.364821;-5.823803;-7.761001;-9.935846;-15.533312;-18.649280;-13.509501;-11.069960;-9.030987;-4.540834;-6.170583;-7.639503;-8.949031;-12.770871;-12.146673;-10.252313;-10.491191;-6.635074;-5.421830;-5.777114;-7.487400;-6.499271;-5.453466;-3.604892;-5.308588;-4.870527;-2.435378
002_BL02.set;1;3.108267;1.870620;3.226452;-0.214895;-1.379279;1.266194;-1.915226;-3.486939;-4.659452;-5.261541;-1.297627;-1.376097;0.152717;0.586893;-4.734779;-7.690609;-9.422031;-9.319192;-4.871309;0.646517;-4.469939;-4.379245;-6.743053;-11.564504;-13.627000;-7.225029;-2.137415;-1.181494;-4.922392;-6.697220;-9.249060;-15.551164;-18.666323;-12.995396;-9.700162;-5.856723;-2.086841;-5.838441;-7.661702;-9.512829;-15.640980;-12.672644;-10.344694;-9.577524;-5.615900;-4.335619;-5.868305;-7.998711;-7.179343;-5.839801;-3.467648;-5.825192;-5.724129;-3.588658
002_BL03.set;1;5.134064;4.383692;6.918006;1.484463;-0.546486;-1.185206;-2.847999;-3.607000;-3.676002;-4.520465;-2.197918;-2.305297;-1.832365;-3.376615;-6.925150;-8.340504;-8.861825;-9.171097;-7.402525;-4.854033;-5.682126;-6.519162;-8.355302;-12.894302;-15.592474;-11.559233;-9.131559;-6.806528;-5.087258;-7.000825;-9.502814;-15.869964;-18.144344;-13.999923;-12.967948;-12.433429;-7.026175;-5.629956;-7.133211;-8.717769;-12.100601;-12.697780;-11.571345;-15.315490;-8.679534;-7.530966;-5.399896;-7.543873;-7.228872;-7.494425;-6.362857;-5.635324;-6.332919;-4.912096
002_BL04.set;1;5.072522;6.047564;8.079336;2.532908;-0.657551;-0.649845;-1.369648;-2.328976;-2.563580;-4.052115;-1.780683;-1.941784;0.051365;-1.584500;-5.949965;-7.605432;-8.479993;-8.810367;-6.156632;-1.659027;-3.790074;-5.894811;-8.095397;-12.578159;-14.417964;-8.655016;-3.587261;-1.761512;-3.208342;-6.236232;-9.203258;-15.743024;-18.784231;-12.750543;-9.735807;-6.493651;-2.108771;-4.764255;-6.555294;-8.264981;-12.041779;-11.853956;-9.221277;-8.486069;-4.856874;-2.872829;-4.798267;-6.836866;-5.876525;-4.484153;-1.760892;-4.387871;-3.917810;-1.364290
002_IBOE.set;1;2.795160;1.740822;2.780660;0.355578;-1.248197;-0.448099;-2.471014;-3.171315;-3.768051;-4.236047;-2.247102;-2.229564;-2.118437;-3.827298;-5.914085;-6.990289;-7.775933;-7.891158;-6.316089;-4.070912;-3.395997;-6.751599;-7.165517;-11.455319;-14.153579;-9.424843;-5.290644;-3.196090;-3.404898;-5.235333;-7.496615;-13.109818;-16.582994;-11.391367;-9.138997;-7.830090;-3.155128;-3.560303;-4.918639;-6.269217;-9.120717;-9.640182;-7.806187;-7.308908;-4.479471;-3.546465;-2.919428;-4.599509;-4.241291;-3.030806;-1.871726;-3.083882;-3.172976;-1.313904
