Freq. Range[13,30]
Name;#Ephocs;FrontalD;FrontalE;CentralD;CentralE;TempDir;TempEsq;ParietalD;ParietalE;OcipitalD;OcipitalE
001_BL01.set;1;3.201443;0.429640;-3.913603;-2.745287;-1.007111;-2.368522;-2.484091;-4.961697;-0.652057;-1.882682
001_BL02.set;1;7.553173;2.767027;-2.181124;-0.647565;2.160866;-2.147309;-0.522256;-3.854788;1.536652;-0.268254
001_BL03.set;1;-7.771729;-6.677556;-11.116488;-10.383976;-7.363472;-7.327389;-9.969527;-10.537766;-5.440135;-6.323406
001_BL04.set;1;-6.273683;-6.028595;-10.694076;-9.971705;-7.057372;-6.733804;-10.077369;-10.347342;-5.376827;-5.880113
001_IBOE.set;1;-5.290043;-6.428960;-9.998834;-9.841859;-6.329330;-6.922538;-10.455651;-11.049611;-8.672231;-10.059177
002_BL01.set;1;2.497400;0.028958;-7.003939;-7.761615;-3.952827;-5.822332;-9.487265;-9.822878;-3.944422;-6.397994
002_BL02.set;1;0.925178;-0.248520;-5.970710;-5.597821;-1.634168;-4.696166;-8.346574;-10.021628;-4.714230;-6.911952
002_BL03.set;1;2.306355;-0.204336;-8.890198;-7.155291;-6.916351;-5.384692;-11.785519;-9.422163;-6.203260;-6.589598
002_BL04.set;1;3.068776;0.651392;-6.762626;-6.324549;-1.935142;-3.499208;-7.773864;-8.972689;-2.924222;-5.612369
002_IBOE.set;1;0.275548;-0.587938;-7.340467;-6.553165;-3.175609;-3.400448;-7.357355;-7.101520;-2.172355;-3.841695
003_BL01.set;1;-3.895483;-1.663456;-6.124620;-5.467335;-1.577308;-0.658811;-5.623651;-5.181150;-3.231248;-2.085590
003_BL02.set;1;-3.409678;-0.679078;-6.821517;-5.624406;-2.941017;-1.375159;-6.439343;-5.662732;-4.015902;-3.317334
003_BL03.set;1;-4.257902;-0.977542;-6.959726;-5.967788;-3.371369;-2.447353;-6.546828;-5.884106;-4.304763;-3.844536
003_BL04.set;1;-3.071887;-1.561482;-5.914123;-6.067811;-1.474589;-1.772482;-5.469238;-5.177321;-2.774144;-1.793376
003_IBOE.set;1;-1.067530;-1.237365;-4.401992;-4.392875;-0.011504;-0.853081;-4.038017;-4.140402;-1.624181;-1.297977
004_BL01.set;1;-5.413086;-7.053319;-8.742771;-9.411739;-6.392643;-1.206702;-8.983025;-10.088187;-6.266052;-6.200290
004_BL02.set;1;-5.416485;-5.359781;-9.183748;-9.161076;-6.840357;-5.177837;-8.679048;-9.778209;-5.934927;-5.685431
004_BL03.set;1;-5.624372;-6.341680;-8.232564;-8.805142;-1.345853;1.586070;-10.137556;-8.244095;-6.931941;-5.424796
004_BL04.set;1;-3.697468;-3.567566;-8.287230;-8.653001;-5.524817;-4.222382;-7.839516;-9.416668;-4.478306;-5.344755
004_IBOE.set;1;-1.816369;-0.971629;-2.951677;-5.450099;-2.022737;-1.079263;-2.511826;-3.963358;-0.383582;-0.499071
005_BL01.set;1;-7.357663;-7.871136;-13.081724;-12.569712;-6.495675;-5.839032;-12.047724;-11.446163;-8.397961;-7.865839
005_BL02.set;1;-7.309186;-8.658627;-10.744594;-12.313855;-3.450998;-6.510766;-11.077457;-11.631062;-9.217985;-8.143159
005_BL03.set;1;-4.647385;-8.102919;-10.992025;-12.414502;-5.559741;-6.663260;-10.956367;-12.663837;-11.979298;-11.612697
005_BL04.set;1;-7.374858;-9.346713;-13.514551;-13.806466;-5.961013;-7.695491;-13.049499;-12.189441;-11.401964;-10.547289
005_IBOE.set;1;-10.192515;-9.862660;-16.247372;-15.230287;-12.629580;-10.160205;-15.104542;-14.676733;-14.142332;-12.484828
006_BL01.set;1;-7.220899;-6.868883;-11.405122;-11.141383;-5.851782;-7.165151;-10.650477;-10.731499;-7.300682;-7.603834
006_BL02.set;1;-7.800383;-7.653348;-12.171636;-12.051211;-7.413396;-6.125874;-10.973670;-10.239532;-7.563547;-7.813515
006_BL03.set;1;-7.535322;-6.614335;-11.702577;-10.503654;-6.869733;-4.592592;-10.616002;-10.162965;-6.804360;-7.434696
006_BL04.set;1;-4.977313;-4.976406;-7.660392;-7.961643;-2.280117;-0.829525;-8.926296;-8.051235;-6.535738;-7.038462
006_IBOE.set;1;-6.024405;-6.044834;-9.932593;-10.031951;-4.640398;-4.018142;-10.069583;-9.129999;-7.228040;-7.098403
007_BL01.set;1;-4.479884;-4.675344;-7.263711;-8.549797;-1.593388;-4.184125;-7.366322;-8.034357;-5.118101;-4.619883
007_BL02.set;1;-5.307507;-5.343805;-7.091184;-8.198932;-2.214547;-3.724296;-7.292448;-8.146740;-4.736768;-5.037973
007_BL03.set;1;-4.001248;-4.058505;-5.037548;-6.158230;1.248059;-1.570616;-6.556817;-8.057846;-6.162392;-7.169561
007_BL04.set;1;-3.434880;-4.425026;-6.830153;-8.007521;-1.559135;-4.431882;-6.725542;-8.014889;-6.002954;-6.481621
007_IBOE.set;1;-4.922716;-5.733902;-7.257003;-8.030409;-1.409944;-4.979253;-7.097684;-7.298955;-5.040762;-4.477450
