Freq. Range[5.000000e-01,3.990000e+00]
Name;#Ephocs;FP1;FPZ;FP2;AF3;AF4;F7;F5;F3;F1;F2;F4;F6;F8;FC5;FC3;FC1;FCZ;FC2;FC4;FC6;T7;C5;C3;C1;C2;C4;C6;T8;TP7;CP5;CP3;CP1;CPZ;CP2;CP4;CP6;TP8;P7;P5;P3;P1;PZ;P2;P4;P6;P8;PO7;PO3;POZ;PO4;PO8;O1;OZ;O2
001_BL01.set;1;12.927771;13.799018;15.504232;14.178345;11.163832;13.030910;12.518071;10.076631;9.919128;9.961902;9.101740;12.882002;14.060545;11.279253;8.086591;5.180478;5.621117;2.063909;9.126302;8.301277;10.430762;6.304048;7.176530;8.605321;8.629809;6.753951;6.700145;10.747388;7.631423;5.560907;7.295065;1.160307;6.251214;8.882382;5.762123;8.971559;9.737190;9.707610;8.943375;3.860102;6.477824;4.485817;1.896016;7.424834;9.444739;10.864619;8.288480;8.915369;7.254764;9.254768;8.728750;7.789095;9.226165;9.185529
001_BL02.set;1;13.585267;15.436173;18.159961;16.468416;13.413420;12.331506;12.639636;10.817867;10.975274;11.565287;9.203634;15.845794;14.032761;11.234908;9.078650;6.402454;5.556008;3.965036;10.584152;7.466888;9.937372;5.062322;8.350960;12.755966;11.950920;8.941744;5.523576;12.862309;6.839946;3.387724;9.802022;0.910446;9.178253;12.567742;8.199965;8.073621;9.927961;10.142443;9.422153;4.171628;10.009822;9.068241;0.832564;9.100515;11.275706;11.108521;8.212237;10.588501;9.293325;10.667541;7.727885;7.502316;9.544844;9.602542
001_BL03.set;1;7.617128;5.619436;4.301278;4.770189;3.350928;6.360966;4.419297;2.671618;3.052296;1.762098;2.108683;3.057632;4.748861;2.537873;0.585664;-0.099621;-1.084414;-1.610825;-0.209843;2.123325;4.210262;2.083673;-2.670558;-1.813578;-2.571890;-1.951441;1.371899;4.136140;4.008431;1.643998;-2.087052;0.196384;-6.564748;-3.971363;0.134995;1.165431;4.109585;4.368360;2.724922;0.800922;-0.541302;-0.378153;-0.599453;0.227196;2.582428;4.716023;4.984344;4.102706;3.513021;4.032069;5.325025;5.861351;5.512659;5.658857
001_BL04.set;1;9.546735;9.325269;8.142252;7.337987;7.984637;7.782589;5.904682;4.726341;4.930687;4.387205;4.355145;5.350784;6.580758;4.115921;2.400620;1.416958;1.009239;0.503725;1.393750;3.515068;5.513042;3.118815;-1.249864;-2.533172;-4.036354;-0.896678;2.409417;5.523135;5.223234;2.630194;-1.642209;-1.181594;-6.960519;-3.473209;0.343525;2.435722;5.409173;5.233525;3.384285;1.366305;0.099894;0.510743;0.237387;1.363528;3.630865;5.776207;6.140864;5.143257;4.576026;4.967156;6.418604;7.347258;6.683229;6.811945
001_IBOE.set;1;6.875631;9.244739;9.527476;7.192736;6.350231;7.471704;6.450310;5.066472;4.153034;4.247897;4.532251;6.445992;7.898458;4.125964;2.016302;0.315006;-0.278407;0.001270;1.873442;4.734856;4.963350;4.845871;-1.413025;-2.889173;-4.051299;-0.082255;2.943655;5.658105;4.477194;1.289477;-3.188663;2.249427;-8.064387;-4.676551;1.031037;2.923737;4.853856;3.333237;0.785476;-1.207252;-4.044639;-4.794770;-2.801754;-0.846138;1.886697;4.240440;1.743123;-0.611948;-2.562941;-0.449997;3.427136;0.603126;0.602819;2.376013
002_BL01.set;1;17.324940;15.669163;17.195227;11.590388;8.039292;6.482648;5.516692;5.687910;6.215983;6.091149;5.854604;5.587333;8.105247;2.638549;0.529211;1.735583;0.941388;-0.080004;1.073148;5.418620;16.645597;-0.105314;2.593946;-1.503669;-2.268175;-0.767525;2.907100;5.697376;3.958341;-0.052059;-0.747827;-1.604968;-9.523964;-2.486251;-1.407240;-2.396164;10.659727;4.157520;1.857564;0.595990;-3.216374;-1.569681;0.338613;-1.509011;2.860073;4.268782;4.017285;2.138409;3.246915;3.731147;5.063512;4.442096;4.019200;5.961197
002_BL02.set;1;13.727749;11.968456;13.336621;9.650462;8.928407;9.179356;5.936646;5.505828;4.833409;4.881033;7.374928;7.174519;9.955361;3.989092;1.917999;1.481974;-0.332827;-1.152654;1.454078;5.299197;7.004851;0.032996;0.836262;-2.503652;-3.974854;-1.820067;2.387358;5.436331;2.796298;0.139640;-2.044882;-1.129321;-10.074914;-4.547721;-3.054041;-1.097405;4.254443;2.052815;-0.100984;-1.876907;-7.739397;-4.775558;-2.022866;-2.426240;1.837350;2.796275;1.949991;-0.327710;1.250562;2.048403;3.925345;2.586457;2.744131;4.207701
002_BL03.set;1;15.447871;14.342596;15.917018;10.959212;9.853153;7.142737;5.369955;5.893533;6.270125;5.939647;6.942511;6.787401;7.159021;2.813164;1.598813;2.085782;1.284364;0.992544;2.066996;3.798602;2.954227;-1.539193;0.473260;-2.243579;-2.710189;-1.099504;0.006621;3.731235;2.351025;0.184049;-1.560189;-2.106440;-5.686263;4.509179;-0.182054;-2.664741;2.431843;2.335990;0.786154;-0.096914;-3.391664;-3.007387;-2.057406;-4.677448;0.459554;0.914800;2.559387;0.662673;1.788217;1.492744;1.583324;2.674726;2.154966;3.505018
002_BL04.set;1;15.342820;17.558500;19.010387;12.922062;10.034589;6.512191;7.718309;7.713199;8.106622;6.923103;6.654410;6.449029;8.837544;3.030918;0.947220;1.659509;1.703695;0.635657;1.914436;6.840512;7.732129;0.527268;3.192065;-1.247068;-4.462050;0.825570;5.231380;8.775236;6.402231;1.923243;0.757089;-3.826264;-9.579501;-1.705503;0.375630;1.384641;8.528709;6.429283;3.957914;2.590922;-1.531073;-1.074434;2.129264;1.818382;5.833928;8.005974;6.314198;4.029736;4.929391;5.828852;8.138922;6.909835;6.330320;8.306161
002_IBOE.set;1;11.278218;9.994935;11.353531;8.189776;6.952876;6.747044;4.571211;4.310723;3.865527;3.693011;4.758665;4.789122;5.963904;1.972222;0.132004;0.045842;-0.928965;-1.646826;0.383583;3.445814;13.216064;-1.669904;-1.144042;-4.902114;-3.995878;-3.049700;0.446383;4.004823;2.533984;-0.122666;-2.451615;1.088032;-10.229857;-4.153287;-2.824760;-1.503177;4.092405;3.343143;1.208736;-0.152274;-2.544687;-3.051207;-1.154387;-1.768377;1.915742;2.660258;3.862340;2.293234;3.365777;3.347691;4.390918;4.279742;4.357812;5.289705
